episode,score,global_step,avg_loss,step
411,1.0,66792,0.0031247704116578235,137
412,2.0,66958,0.0037440560028496393,166
413,1.0,67109,0.003068663735955141,151
414,1.0,67273,0.003145772748580828,164
415,1.0,67399,0.002724932071490883,126
416,1.0,67533,0.0027283318557496006,134
417,1.0,67705,0.002614542255977286,172
418,5.0,68038,0.003090222424326349,333
419,2.0,68225,0.002864147820885246,187
420,1.0,68366,0.0025826505578939074,141
421,3.0,68619,0.002905241868589483,253
422,1.0,68766,0.0028875799571509634,147
423,3.0,69019,0.002812033205488189,253
424,2.0,69214,0.002753274518939482,195
425,0.0,69334,0.0031045002879750427,120
426,0.0,69458,0.003099130314097003,124
427,2.0,69626,0.002401048886483858,168
428,4.0,69930,0.002622955046435113,304
429,1.0,70083,0.0029202321196910167,153
430,2.0,70278,0.0030489202170522335,195
431,2.0,70468,0.0026098770200501586,190
432,2.0,70666,0.0028345426873480997,198
433,0.0,70792,0.003077109607883834,126
434,0.0,70914,0.003885931084868553,122
435,1.0,71070,0.003048746601699839,156
436,4.0,71332,0.002977368446594663,262
437,0.0,71447,0.0028293872152457683,115
438,1.0,71595,0.0028198514277010945,148
439,0.0,71693,0.002266726044896985,98
440,0.0,71799,0.0023152255204345325,106
441,0.0,71894,0.002100816946748589,95
442,0.0,72022,0.0027142438594154328,128
443,0.0,72137,0.003088421547474117,115
444,1.0,72306,0.003256754470899149,169
445,1.0,72470,0.0029065730920825534,164
446,0.0,72573,0.0024252449209827705,103
447,2.0,72749,0.0030444510621650393,176
448,1.0,72907,0.0036201943465164707,158
449,1.0,73070,0.003042396949114812,163
450,1.0,73241,0.0028142976210381687,171
451,0.0,73357,0.003037832647680324,116
452,1.0,73518,0.0030219411501658322,161
453,3.0,73734,0.0028622545406859798,216
454,1.0,73869,0.0030604910088691717,135
455,2.0,74046,0.0027969004098449043,177
456,0.0,74158,0.0025230798459615145,112
457,1.0,74288,0.0030107605431462267,130
458,3.0,74555,0.0032416723546266984,267
459,3.0,74779,0.0029161326755493227,224
460,0.0,74905,0.002717398938824454,126
461,1.0,75049,0.0029623071704665766,144
462,2.0,75251,0.0030202179670150054,202
463,2.0,75447,0.0031538525352015293,196
464,0.0,75562,0.0033027978043482227,115
465,2.0,75758,0.002617586425061541,196
466,1.0,75903,0.0035604734842904846,145
467,0.0,76021,0.003218344516418734,118
468,0.0,76142,0.004257595299493027,121
469,1.0,76273,0.0025799810968973507,131
470,0.0,76387,0.002611102829457211,114
471,1.0,76543,0.002020649457563195,156
472,2.0,76770,0.0022287254820236983,227
473,0.0,76893,0.0022840120434595773,123
474,0.0,77008,0.00321685776527928,115
475,0.0,77130,0.002853229437043231,122
476,0.0,77247,0.003048638047861708,117
477,0.0,77376,0.0024691867850400065,129
478,3.0,77615,0.0032272902803487185,239
479,3.0,77829,0.003290946898759502,214
480,1.0,77959,0.0031312889565784786,130
481,0.0,78068,0.0032378517291046026,109
482,1.0,78216,0.003157138423679916,148
483,1.0,78364,0.0034111472785273668,148
484,0.0,78487,0.0026357895921122454,123
485,0.0,78604,0.0027729878215295607,117
